phrase	count	pmi	parts_gloss	ref
אלא דת רחמנ	4	15.17	מילית קישור: אם לא, אל · דת · רחום	פיוט #13 — צלות מרקה
אלא אחד אתהו	4	13.25	מילית קישור: אם לא, אל · אחד · אתהו = הוא (משמש כפועל	פיוט #13 — צלות מרקה
יתמר לכ רבואנ	4	16.57	תמר, עץ דקל ופרי (palm · אותך · עשרת אלפים	פיוט #13 — צלות מרקה
זכאי עלטה	4	9.39	הצדיקים · עלטה	פיוט #14 — בלבה אלילו
יומ לית	4	1.53	יחידת זמן: יום, שבת · שלילת קיום: אין, לא קי	פיוט #14 — בלבה אלילו
בקלנ מרנ	4	7.24	בזיון, חרפה · אדוננו	פיוט #14 — בלבה אלילו
ואתו שמעינ	4	11.09	אישה, woman · שמיעה, הקשבה	פיוט #14 — בלבה אלילו
מנ עבד	4	1.01	דברים · עשה, פעל	פיוט #14 — בלבה אלילו
ולימימ ושנימ	4	14.15	אוי (קריאת צער) · שניים (מספר מונה לזכר)	פיוט #14 — בלבה אלילו
ישתבח ויתרבי	4	6.65	ברוך · טיפוח, גידול, תרבית גב	פיוט #14 — בלבה אלילו
וחיי עולמ דילה	4	22.04	קיום, חיים, עשייה למען · העולם, תבל · לעג, ליצנות	פיוט #14 — בלבה אלילו
שמע בקלנ מרנ	4	17.91	שמע · בזיון, חרפה · אדוננו	פיוט #14 — בלבה אלילו
וכל אתר	4	3.97	מידה, מדידה · מקום	פיוט #15 — צלות עמרם , דרה רצון יהוה וסליחתו עליו אמן
דלית לנ	4	4.22	שלילת קיום: אין, לא קי · עלינו	פיוט #15 — צלות עמרם , דרה רצון יהוה וסליחתו עליו אמן
צדקה מנ	4	2.89	צדקה, רחמים, חסד · דברים	פיוט #15 — צלות עמרם , דרה רצון יהוה וסליחתו עליו אמן
דלית לכ	4	2.42	שלילת קיום: אין, לא קי · אותך	פיוט #15 — צלות עמרם , דרה רצון יהוה וסליחתו עליו אמן
לא דמי	4	3.68	מילת שלילה והאיסור · דמות, תמונה, שוויון	פיוט #15 — צלות עמרם , דרה רצון יהוה וסליחתו עליו אמן
לא לפמ	4	3.38	מילת שלילה והאיסור · לפי, בהתאם ל-	פיוט #15 — צלות עמרם , דרה רצון יהוה וסליחתו עליו אמן
לנ ורתי	4	7.65	עלינו · PON M	פיוט #15 — צלות עמרם , דרה רצון יהוה וסליחתו עליו אמן
ליד חסדכ	4	8.79	מילית יחס: אצל, ליד, ל · טוב, גמילת טובה, חסד	פיוט #15 — צלות עמרם , דרה רצון יהוה וסליחתו עליו אמן
לנ מכל	4	2.47	עלינו · מכל	פיוט #15 — צלות עמרם , דרה רצון יהוה וסליחתו עליו אמן
סובר ופשר	4	13.05	לתמוך, לסבול, לשאת · הצלה מהירה	פיוט #15 — צלות עמרם , דרה רצון יהוה וסליחתו עליו אמן
אחד ישתבח	4	3.28	אחד · ברוך	פיוט #15 — צלות עמרם , דרה רצון יהוה וסליחתו עליו אמן
רחמיכ מרי לא	4	10.71	אהבה, חמלה · אדון (נאמר על האלוהים) · מילת שלילה והאיסור	פיוט #15 — צלות עמרם , דרה רצון יהוה וסליחתו עליו אמן
דבק לנ ורתי	4	19.92	חיבור והצמדה · עלינו · PON M	פיוט #15 — צלות עמרם , דרה רצון יהוה וסליחתו עליו אמן
אלה הכ	4	1.18	אלוהות, God · כיצד	פיוט #16 — לכהנה רבה עמרם דרה רצון יהוה עליו
קראה רקרא	4	11.98	קורא, reader · רקרא	פיוט #16 — לכהנה רבה עמרם דרה רצון יהוה עליו
אנש מנ	4	2.44	איש, אדם · דברים	פיוט #16 — לכהנה רבה עמרם דרה רצון יהוה עליו
שלח לנ	4	5.4	שליחה, משלוח, שגרה · עלינו	פיוט #16 — לכהנה רבה עמרם דרה רצון יהוה עליו
לא ימטי	4	3.76	מילת שלילה והאיסור · הגעה, השגה	פיוט #16 — לכהנה רבה עמרם דרה רצון יהוה עליו
לא תקומ	4	2.91	מילת שלילה והאיסור · תהיה	פיוט #16 — לכהנה רבה עמרם דרה רצון יהוה עליו
בעסרתי מליה	4	11.98	עשרה · הדברים	פיוט #18 — ז צלות כהנה רבה פינחס רצון יהוה עליו
אוצר הרחמימ	4	9.02	אוצר · רחמים, חמלה	פיוט #18 — ז צלות כהנה רבה פינחס רצון יהוה עליו
עמ חדור	4	9.18	דוד, דודן · חדור	פיוט #18 — ז צלות כהנה רבה פינחס רצון יהוה עליו
בכל עדניה	4	7.78	כל, כולו · תענוג, עידון (delight,	פיוט #18 — ז צלות כהנה רבה פינחס רצון יהוה עליו
שביו ומועדיו	4	15.85	שבי, captivity · מועד, זמן קבוע, אסיפה	פיוט #18 — ז צלות כהנה רבה פינחס רצון יהוה עליו
הגדול אלעזר	4	6.32	גדול · שם פרטי אלעזר	פיוט #18 — ז צלות כהנה רבה פינחס רצון יהוה עליו
אלעזר רצונ	4	7.23	שם פרטי אלעזר · רצון, קבלה (acceptance	פיוט #18 — ז צלות כהנה רבה פינחס רצון יהוה עליו
ומבתר יומ	4	6.45	אחרי אשר, after · יחידת זמן: יום, שבת	פיוט #18 — ז צלות כהנה רבה פינחס רצון יהוה עליו
אלעזר בנ	4	4.69	שם פרטי אלעזר · בן (בפירוש בכתבי יד)	פיוט #18 — ז צלות כהנה רבה פינחס רצון יהוה עליו
רו בעי	4	8.19	רו · דרישה, חיפוש, בקשה, תפ	פיוט #18 — ז צלות כהנה רבה פינחס רצון יהוה עליו
ברוכ יהוד	4	4.14	ברוך · splendor, הדר, הוד	פיוט #18 — ז צלות כהנה רבה פינחס רצון יהוה עליו
זבנ ואתר	4	9.1	קנייה, רכישה בכסף · אתון, נקבת החמור	פיוט #18 — ז צלות כהנה רבה פינחס רצון יהוה עליו
יגדל נא	4	9.39	גדולה, עוצמה (greatnes · מילת זירוז: שאל נא, אנ	פיוט #18 — ז צלות כהנה רבה פינחס רצון יהוה עליו
ואולמ חי	4	9.07	אבל, ואולם · דברים	פיוט #18 — ז צלות כהנה רבה פינחס רצון יהוה עליו
אתה נשא	4	5.31	אישה, woman · נשא, הרים, סחב	פיוט #18 — ז צלות כהנה רבה פינחס רצון יהוה עליו
מה עשית	4	5.43	מה · עשייה, מעשה	פיוט #18 — ז צלות כהנה רבה פינחס רצון יהוה עליו
לא ירפ	4	5.93	מילת שלילה והאיסור · ירפ	פיוט #18 — ז צלות כהנה רבה פינחס רצון יהוה עליו
שמכ הקדוש	4	7.06	שמך · קדושה	פיוט #18 — ז צלות כהנה רבה פינחס רצון יהוה עליו
חסר לאלפימ	4	10.44	חסרון, מחסור, פגם, מום · לימוד, הוראה	פיוט #18 — ז צלות כהנה רבה פינחס רצון יהוה עליו
על מכה	4	3.32	על (מילת יחס) · שם מקום: מכה	פיוט #18 — ז צלות כהנה רבה פינחס רצון יהוה עליו
כתב הכ	4	5.42	כתב, לכתוב · כיצד	פיוט #18 — ז צלות כהנה רבה פינחס רצון יהוה עליו
הכ ארהותה	4	5.95	כיצד · התורה	פיוט #18 — ז צלות כהנה רבה פינחס רצון יהוה עליו
ארתי נפשאתנ	4	10.56	PON M · רווח, מרווח (space, in	פיוט #18 — ז צלות כהנה רבה פינחס רצון יהוה עליו
רבתה עד	4	3.88	הגדולה · עד, כמקום (as far as) 	פיוט #18 — ז צלות כהנה רבה פינחס רצון יהוה עליו
נביא הכ	4	4.93	נביא, prophet · כיצד	פיוט #18 — ז צלות כהנה רבה פינחס רצון יהוה עליו
סיני יומה	4	3.77	סין (שם מקום) · היום, כיום	פיוט #18 — ז צלות כהנה רבה פינחס רצון יהוה עליו
בקרנ אורה	4	12.67	קירור, קרירות (של רוח) · אור (light)	פיוט #18 — ז צלות כהנה רבה פינחס רצון יהוה עליו
עמימ ומרעי	4	13.95	קוץ, שמיר · קלקול, חורבן, השחתה	פיוט #18 — ז צלות כהנה רבה פינחס רצון יהוה עליו
דלא קעמ	4	5.26	בטרם, לפני · might	פיוט #18 — ז צלות כהנה רבה פינחס רצון יהוה עליו
הכהנ הגדול אלעזר	4	16.35	כהן, משרת בקודש · גדול · שם פרטי אלעזר	פיוט #18 — ז צלות כהנה רבה פינחס רצון יהוה עליו
הוא יהוה הנכבד	4	12.07	היה, to be (intrans.) · יהוה, שם האלהים · להכביד, לגרום לאדם להי	פיוט #18 — ז צלות כהנה רבה פינחס רצון יהוה עליו
פניכ אה אדני	4	13.33	פנייה, turning · הנה · אדון, lord	פיוט #18 — ז צלות כהנה רבה פינחס רצון יהוה עליו
בכל זבנ ואתר	4	17.88	כל, כולו · קנייה, רכישה בכסף · אתון, נקבת החמור	פיוט #18 — ז צלות כהנה רבה פינחס רצון יהוה עליו
ולא עורנ ימעי	4	17.61	מילת שלילה והאיסור · אחר · בטן, מעיים	פיוט #18 — ז צלות כהנה רבה פינחס רצון יהוה עליו
ויצחק ויעקב שמע	4	18.84	לצחוק · סוף, אחרית · שמע	פיוט #18 — ז צלות כהנה רבה פינחס רצון יהוה עליו
טור סיני יומה	4	15.23	הר, mountain · סין (שם מקום) · היום, כיום	פיוט #18 — ז צלות כהנה רבה פינחס רצון יהוה עליו
שמעי עמימ ומרעי	4	28.1	שמעי (שם פרטי) · קוץ, שמיר · קלקול, חורבן, השחתה	פיוט #18 — ז צלות כהנה רבה פינחס רצון יהוה עליו
על טור סיני יומה	4	21.59	על (מילת יחס) · הר, mountain · סין (שם מקום) · היום, כיום	פיוט #18 — ז צלות כהנה רבה פינחס רצון יהוה עליו
דלא טפי	4	8.64	בטרם, לפני · כיבוי, הכבת אש	פיוט #19 — ישתבח אלהים : לית אלה אלא אחד
לית לבר	4	4.95	שלילת קיום: אין, לא קי · מנהל הבית, אפוטרופוס	פיוט #20 — לעבודה • ישתבח אלהים : לית אלה אלא אחד
רב איקרה	4	6.56	גדול · כבוד, יקר	פיוט #22 — תורנים תתמר בשבתות
קרינ בה	4	8.36	פליטת זרע (הלוואה מעבר · האות בית, אות ראשית של	פיוט #22 — תורנים תתמר בשבתות
כותה ולא	4	4.69	כמוהו · מילת שלילה והאיסור	פיוט #22 — תורנים תתמר בשבתות
הכ אהנ	4	4.56	כיצד · הזה	פיוט #22 — תורנים תתמר בשבתות
מנ רומ	4	1.98	דברים · גובה	פיוט #22 — תורנים תתמר בשבתות
קדיש ומקדש	4	11.64	1. קדוש · מקדש, בית פולחן	פיוט #22 — תורנים תתמר בשבתות
להרנריזימ בית	4	9.38	להרנריזימ · האות בית, אות ראשית של	פיוט #22 — תורנים תתמר בשבתות
לית בכל	4	1.68	שלילת קיום: אין, לא קי · כל, כולו	פיוט #22 — תורנים תתמר בשבתות
יומ רב	4	1.65	יחידת זמן: יום, שבת · גדול	פיוט #22 — תורנים תתמר בשבתות
איקר רב איקרה	4	18.74	כבוד, יקר · גדול · כבוד, יקר	פיוט #22 — תורנים תתמר בשבתות
יומ קדיש ומקדש	4	20.26	יחידת זמן: יום, שבת · 1. קדוש · מקדש, בית פולחן	פיוט #22 — תורנים תתמר בשבתות
להרנריזימ בית אל	4	16.15	להרנריזימ · האות בית, אות ראשית של · אלוהות, אלהים	פיוט #22 — תורנים תתמר בשבתות
לית בכל יומיה	4	13.98	שלילת קיום: אין, לא קי · כל, כולו · הימים	פיוט #22 — תורנים תתמר בשבתות
רכנ ארכנ	4	13.22	כפיפה, שפלות · שלטון, שררה, אדנות	פיוט #23 — עורן כ ; על ואלה שמות
לה יתקטל	4	8.6	האות השתים עשרה באלף ב · קטל, הריגה, מכה	פיוט #23 — עורן כ ; על ואלה שמות
תהומ קביע	4	13.39	תהום, אביס · קביע	פיוט #23 — עורן כ ; על ואלה שמות
כל מינה	4	4.37	כל, כולו · צמר דק, תכלת, ארגמן, ב	פיוט #23 — עורן כ ; על ואלה שמות
חילה רכנ ארכנ	4	23.36	כוח, עוצמה · כפיפה, שפלות · שלטון, שררה, אדנות	פיוט #23 — עורן כ ; על ואלה שמות
מהימנה ממנה	4	10.36	הנאמן · מנה, כמות	פיוט #24 — עלי ואלה שמות ג* ג אלישתבח
מועדימ קרישימ	4	9.68	מועד, זמן קבוע, אסיפה · זנות פולחנית	פיוט #26 — על מועדיה וראשי יר חיה
וכפת כל	4	5.62	כפת, אסר, קשר · כל, כולו	פיוט #26 — על מועדיה וראשי יר חיה
לא יתר	4	3.41	מילת שלילה והאיסור · שיור, עודף, יתרה	פיוט #26 — על מועדיה וראשי יר חיה
יתר ולא	4	3.92	שיור, עודף, יתרה · מילת שלילה והאיסור	פיוט #26 — על מועדיה וראשי יר חיה
מברכ הוא	4	4.4	ברך · היה, to be (intrans.)	פיוט #26 — על מועדיה וראשי יר חיה
ביד נביא	4	6.91	ביד, על ידי (by, throu · נביא, prophet	פיוט #26 — על מועדיה וראשי יר חיה
